,DateTime,Occupied
20758,2018-12-05 19:30:00,False
20759,2018-12-05 19:35:00,False
20760,2018-12-05 19:40:00,False
20761,2018-12-05 19:45:00,False
20762,2018-12-05 19:50:00,False
20763,2018-12-05 19:55:00,False
20764,2018-12-05 20:00:00,False
20765,2018-12-05 20:05:00,False
20766,2018-12-05 20:10:00,False
20767,2018-12-05 20:15:00,False
20768,2018-12-05 20:20:00,False
20769,2018-12-05 20:25:00,False
20770,2018-12-05 20:30:00,False
20771,2018-12-05 20:35:00,False
20772,2018-12-05 20:40:00,False
20773,2018-12-05 20:45:00,False
20774,2018-12-05 20:50:00,False
20775,2018-12-05 20:55:00,False
20776,2018-12-05 21:00:00,False
20777,2018-12-05 21:05:00,False
20778,2018-12-05 21:10:00,False
20779,2018-12-05 21:15:00,False
20780,2018-12-05 21:20:00,False
20781,2018-12-05 21:25:00,False
20782,2018-12-05 21:30:00,False
20783,2018-12-05 21:35:00,False
20784,2018-12-05 21:40:00,False
20785,2018-12-05 21:45:00,False
20786,2018-12-05 21:50:00,False
20787,2018-12-05 21:55:00,False
20788,2018-12-05 22:00:00,False
20789,2018-12-05 22:05:00,False
20790,2018-12-05 22:10:00,False
20791,2018-12-05 22:15:00,False
20792,2018-12-05 22:20:00,False
20793,2018-12-05 22:25:00,False
20794,2018-12-05 22:30:00,False
20795,2018-12-05 22:35:00,False
20796,2018-12-05 22:40:00,False
20797,2018-12-05 22:45:00,False
20798,2018-12-05 22:50:00,False
20799,2018-12-05 22:55:00,False
20800,2018-12-05 23:00:00,False
20801,2018-12-05 23:05:00,False
20802,2018-12-05 23:10:00,False
20803,2018-12-05 23:15:00,False
20804,2018-12-05 23:20:00,False
20805,2018-12-05 23:25:00,False
20806,2018-12-05 23:30:00,False
20807,2018-12-05 23:35:00,False
20808,2018-12-05 23:40:00,False
20809,2018-12-05 23:45:00,False
20810,2018-12-05 23:50:00,False
20811,2018-12-05 23:55:00,False
